,County,Year,FIPS,WBGT Days above 85,WBGT Hours above 85,WBGT Days above 90,WBGT Hours above 90,WBGT Av. 24h high JJA,WBGT Av. 24h low JJA
593,"Mercer County, IL",2024,17131.0,3,0,0,0,74.68249063944731,63.397909881134176
594,"Monroe County, IL",2016,17133.0,4,13,0,0,78.8605666805651,69.04672572513888
595,"Monroe County, IL",2017,17133.0,3,5,0,0,76.41032048736865,65.49112609652778
596,"Monroe County, IL",2018,17133.0,0,0,0,0,77.96050144311137,67.94362237992311
597,"Monroe County, IL",2019,17133.0,1,1,0,0,76.80310402169984,66.85298696676578
598,"Monroe County, IL",2020,17133.0,1,1,0,0,77.46099558728417,67.3272609434467
599,"Monroe County, IL",2021,17133.0,0,0,0,0,77.71285155652158,67.94185350410089
600,"Monroe County, IL",2022,17133.0,7,0,0,0,78.00757252260637,67.4241825728359
601,"Monroe County, IL",2023,17133.0,10,1,0,0,77.21356273267712,66.42402739671634
602,"Monroe County, IL",2024,17133.0,4,0,0,0,77.36163519378574,66.78950759945849
603,"Montgomery County, IL",2016,17135.0,2,5,0,0,77.45163903844359,66.89423605992803
604,"Montgomery County, IL",2017,17135.0,1,1,0,0,75.36500840087473,63.28567363379079
605,"Montgomery County, IL",2018,17135.0,0,0,0,0,76.97321177509691,66.20722349214547
606,"Montgomery County, IL",2019,17135.0,0,0,0,0,75.7178340990401,64.57090960011517
607,"Montgomery County, IL",2020,17135.0,0,0,0,0,76.31695786611616,64.98149993025119
608,"Montgomery County, IL",2021,17135.0,0,0,0,0,76.91669564880719,66.41760266929224
609,"Montgomery County, IL",2022,17135.0,2,0,0,0,76.49728587908797,65.36979366182884
610,"Montgomery County, IL",2023,17135.0,8,0,0,0,75.69610544927532,63.921972967509014
611,"Montgomery County, IL",2024,17135.0,2,0,0,0,76.06073648148332,64.62167941693505
612,"Morgan County, IL",2016,17137.0,2,6,0,0,77.37707242174393,66.44162473891996
613,"Morgan County, IL",2017,17137.0,2,3,0,0,75.34211637707801,62.559876673225475
614,"Morgan County, IL",2018,17137.0,1,1,0,0,77.03883810639277,65.59423932876794
615,"Morgan County, IL",2019,17137.0,0,0,0,0,75.58824778340974,64.17862571358606
616,"Morgan County, IL",2020,17137.0,0,0,0,0,76.42610104372912,64.48506341753203
617,"Morgan County, IL",2021,17137.0,1,0,0,0,76.97084450913593,65.72962928939701
618,"Morgan County, IL",2022,17137.0,2,0,0,0,76.47548675335615,64.53610287347568
619,"Morgan County, IL",2023,17137.0,7,0,0,0,75.67751704434637,63.39733192769704
620,"Morgan County, IL",2024,17137.0,2,0,0,0,75.96219993820382,64.476377582941
621,"Moultrie County, IL",2016,17139.0,2,3,0,0,76.64097622677514,65.80389012480683
622,"Moultrie County, IL",2017,17139.0,0,0,0,0,74.53753703124963,62.46326874334311
623,"Moultrie County, IL",2018,17139.0,0,0,0,0,76.32497809828544,65.32014550532442
624,"Moultrie County, IL",2019,17139.0,0,0,0,0,75.15559298490975,63.803519741784214
625,"Moultrie County, IL",2020,17139.0,0,0,0,0,75.51923951357101,64.11871806001183
626,"Moultrie County, IL",2021,17139.0,0,0,0,0,76.40823654192714,65.61859432825892
627,"Moultrie County, IL",2022,17139.0,2,0,0,0,75.69075502278073,64.51130453676934
628,"Moultrie County, IL",2023,17139.0,5,0,0,0,74.81986536110584,62.86977171073328
629,"Moultrie County, IL",2024,17139.0,2,0,0,0,75.3116420914791,63.46540747725821
630,"Ogle County, IL",2016,17141.0,2,3,0,0,74.14593900715982,62.5091507117646
631,"Ogle County, IL",2017,17141.0,0,0,0,0,71.89793788169547,59.32668567242634
632,"Ogle County, IL",2018,17141.0,1,1,0,0,74.17420678214394,62.17990410374344
633,"Ogle County, IL",2019,17141.0,0,0,0,0,72.8774979759521,61.0157023406499
634,"Ogle County, IL",2020,17141.0,0,0,0,0,74.25689690495577,62.07875498164721
635,"Ogle County, IL",2021,17141.0,1,0,0,0,74.40226444458915,62.777869188278736
636,"Ogle County, IL",2022,17141.0,0,0,0,0,73.0685119932028,61.05033710562841
637,"Ogle County, IL",2023,17141.0,2,0,0,0,72.51563711207355,60.13841279991629
