,State Name,county Name,Year,Month,State Code,County Code,Avg AQI,Category,Min AQI,Max AQI,Days with AQI >50,Monthly Mode DP (AQI>50),DP as NO2 (AQI>50),DP as Ozone (AQI>50),DP as PM10 (AQI>50),DP as PM2.5 (AQI>50),Days with AQI >100,Monthly Mode DP (AQI>100),DP as NO2 (AQI>100),DP as Ozone (AQI>100),DP as PM10 (AQI>100),DP as PM2.5 (AQI>100)
181,Illinois,Champaign,2024,11,17,19,36.733333333333334,Good,18,53,7.0,PM2.5,0.0,0.0,0.0,7.0,0.0,0,0.0,0.0,0.0,0.0
182,Illinois,Champaign,2024,12,17,19,37.0,Good,23,66,4.0,PM2.5,0.0,0.0,0.0,4.0,0.0,0,0.0,0.0,0.0,0.0
183,Illinois,Champaign,2025,1,17,19,36.58064516129032,Good,21,71,5.0,PM2.5,0.0,0.0,0.0,5.0,0.0,0,0.0,0.0,0.0,0.0
184,Illinois,Champaign,2025,2,17,19,41.82142857142857,Good,26,60,7.0,PM2.5,0.0,0.0,0.0,7.0,0.0,0,0.0,0.0,0.0,0.0
185,Illinois,Champaign,2025,3,17,19,45.354838709677416,Good,27,137,7.0,PM2.5,0.0,1.0,0.0,6.0,1.0,PM2.5,0.0,0.0,0.0,1.0
186,Illinois,Champaign,2025,4,17,19,43.766666666666666,Good,27,71,7.0,PM2.5,0.0,3.0,0.0,4.0,0.0,0,0.0,0.0,0.0,0.0
187,Illinois,Champaign,2025,5,17,19,42.16129032258065,Good,21,67,7.0,PM2.5,0.0,3.0,0.0,4.0,0.0,0,0.0,0.0,0.0,0.0
188,Illinois,Champaign,2025,6,17,19,57.46666666666667,Moderate,37,97,18.0,PM2.5,0.0,2.0,0.0,16.0,0.0,0,0.0,0.0,0.0,0.0
189,Illinois,Clark,2016,4,17,23,42.43333333333333,Good,30,74,7.0,Ozone,0.0,7.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
190,Illinois,Clark,2016,5,17,23,46.354838709677416,Good,29,80,7.0,Ozone,0.0,7.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
191,Illinois,Clark,2016,6,17,23,55.233333333333334,Moderate,32,101,12.0,Ozone,0.0,12.0,0.0,0.0,1.0,Ozone,0.0,1.0,0.0,0.0
192,Illinois,Clark,2016,7,17,23,33.0,Good,22,46,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
193,Illinois,Clark,2016,8,17,23,32.25806451612903,Good,19,47,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
194,Illinois,Clark,2016,9,17,23,35.13333333333333,Good,19,64,2.0,Ozone,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
195,Illinois,Clark,2016,10,17,23,33.18181818181818,Good,21,49,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
196,Illinois,Clark,2017,3,17,23,36.58064516129032,Good,25,44,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
197,Illinois,Clark,2017,4,17,23,41.86666666666667,Good,22,67,4.0,Ozone,0.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
198,Illinois,Clark,2017,5,17,23,50.806451612903224,Moderate,33,87,11.0,Ozone,0.0,11.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
199,Illinois,Clark,2017,6,17,23,54.0,Moderate,21,101,12.0,Ozone,0.0,12.0,0.0,0.0,1.0,Ozone,0.0,1.0,0.0,0.0
200,Illinois,Clark,2017,7,17,23,39.96774193548387,Good,30,54,1.0,Ozone,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
201,Illinois,Clark,2017,8,17,23,37.592592592592595,Good,22,46,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
202,Illinois,Clark,2017,9,17,23,38.63333333333333,Good,20,64,2.0,Ozone,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
203,Illinois,Clark,2017,10,17,23,32.16129032258065,Good,13,48,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
204,Illinois,Clark,2018,1,17,23,28.225806451612904,Good,15,41,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
205,Illinois,Clark,2018,2,17,23,28.285714285714285,Good,14,44,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
206,Illinois,Clark,2018,3,17,23,36.645161290322584,Good,16,45,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
